product_id,name,category,sub_category,price,cost,stock_qty,is_active
P0000,Implemented composite conglomeration,Beauty,Candidate,171.98,146.15,89,False
P0001,Proactive global initiative,Clothing,Job,391.79,10.09,86,False
P0002,Future-proofed responsive emulation,Beauty,Build,349.15,73.9,516,False
P0003,Balanced impactful instruction set,Home & Kitchen,Professor,146.95,106.32,71,False
P0004,Networked zero tolerance Graphic Interface,Electronics,Group,82.16,57.27,227,False
P0005,Profit-focused incremental success,Home & Kitchen,Final,441.17,114.75,23,False
P0006,Fundamental mobile monitoring,Clothing,Tell,20.9,96.51,696,False
P0007,Optimized 6thgeneration access,Clothing,Computer,376.81,50.5,231,True
P0008,Diverse hybrid initiative,Toys,Eye,254.13,118.45,489,True
P0009,Organic needs-based attitude,Books,Doctor,10.38,32.86,848,False
P0010,Phased dedicated toolset,Beauty,Part,417.18,241.97,404,True
P0011,Integrated 4thgeneration intranet,Sports,Expect,341.55,228.68,202,False
P0012,Inverse coherent emulation,Clothing,Sea,438.61,104.41,509,False
P0013,Open-source bifurcated software,Electronics,Risk,279.31,205.46,117,False
P0014,Robust cohesive extranet,Clothing,Former,415.61,176.55,358,False
P0015,Synchronized local groupware,Electronics,Away,459.98,185.81,223,True
P0016,Optional global attitude,Books,Before,253.43,3.89,843,True
P0017,User-centric explicit capability,Clothing,Full,356.13,94.91,614,False
P0018,Public-key 5thgeneration firmware,Books,Product,214.72,57.54,789,True
P0019,Right-sized zero administration knowledgebase,Beauty,Network,82.62,72.33,550,False
P0020,Assimilated didactic array,Books,Too,486.7,220.14,536,True
P0021,Sharable directional standardization,Electronics,His,263.14,67.6,889,False
P0022,Persevering executive throughput,Beauty,Your,489.07,209.94,330,True
P0023,Open-architected local emulation,Sports,Third,66.94,199.19,788,False
P0024,Fully-configurable static process improvement,Clothing,Forget,109.87,104.85,977,False
P0025,Assimilated static ability,Beauty,Door,311.43,61.91,329,False
P0026,Monitored foreground pricing structure,Toys,One,113.36,225.25,735,True
P0027,User-friendly actuating matrices,Toys,Show,95.93,104.81,474,False
P0028,Object-based national knowledgebase,Electronics,Most,374.27,5.85,681,True
P0029,Monitored executive alliance,Sports,Land,281.85,40.04,167,False
P0030,Exclusive methodical architecture,Electronics,Hope,421.65,94.85,878,True
P0031,Front-line homogeneous leverage,Books,Water,409.2,204.54,526,True
P0032,Function-based even-keeled methodology,Books,Truth,236.88,205.37,118,False
P0033,Right-sized attitude-oriented open system,Electronics,Partner,160.03,150.79,946,True
P0034,Fully-configurable tertiary methodology,Electronics,Writer,322.74,85.1,143,True
P0035,Cross-group impactful customer loyalty,Toys,Lot,414.49,239.87,234,False
P0036,Automated empowering database,Electronics,Relate,86.59,248.22,948,False
P0037,Diverse empowering parallelism,Toys,Rule,402.65,61.97,382,True
P0038,Sharable dynamic paradigm,Toys,Mrs,325.09,243.43,404,False
P0039,Enterprise-wide bottom-line migration,Beauty,Need,101.39,49.78,473,False
P0040,Extended neutral firmware,Electronics,Lose,58.66,161.82,898,True
P0041,Extended composite open architecture,Clothing,Soldier,43.52,207.48,645,True
P0042,Focused clear-thinking projection,Clothing,Test,303.58,200.73,535,False
P0043,Re-contextualized bi-directional ability,Toys,Option,424.07,145.31,217,True
P0044,Intuitive next generation conglomeration,Electronics,This,18.88,33.96,808,False
P0045,Optional methodical attitude,Home & Kitchen,Cost,144.69,159.8,419,False
P0046,Assimilated zero-defect knowledge user,Clothing,Bank,273.08,244.38,202,True
P0047,Fundamental eco-centric infrastructure,Beauty,My,37.33,45.08,80,True
P0048,Intuitive system-worthy strategy,Sports,Task,300.57,226.23,294,False
